index,town,median_age
0,Andover town,49.2
1,Avon town,45.9
2,Berlin town,47.7
3,Bloomfield town,46.8
4,Bolton town,45.8
5,Canton town,46.2
6,Columbia town,53.5
7,Coventry town,45.8
8,East Granby town,40.8
9,East Hartford town,37.8
10,East Windsor town,47.1
11,Ellington town,40
12,Enfield town,40.2
13,Farmington town,43.6
14,Glastonbury town,44.8
15,Granby town,45.9
16,Hartford town,33.1
17,Hebron town,45.8
18,Manchester town,36.9
19,Mansfield town,21.1
20,Marlborough town,42
21,New Britain town,33.4
22,Newington town,44.7
23,Plainville town,42.6
24,Rocky Hill town,43.7
25,Simsbury town,43.6
26,Somers town,45.2
27,Southington town,44.4
28,South Windsor town,40.4
29,Stafford town,47.5
30,Suffield town,44.2
31,Tolland town,41.6
32,Vernon town,39.2
33,West Hartford town,39.7
34,Wethersfield town,44.2
35,Willington town,36.7
36,Windsor town,42.8
37,Windsor Locks town,42
38,Bridgeport town,37.5
39,Easton town,47.1
40,Fairfield town,40.2
41,Monroe town,43.2
42,Stratford town,46.9
43,Trumbull town,42.7
44,Chester town,50.6
45,Clinton town,48.8
46,Cromwell town,43.2
47,Deep River town,47.1
48,Durham town,45.8
49,East Haddam town,49.5
50,East Hampton town,41.4
51,Essex town,54.2
52,Haddam town,46
53,Killingworth town,51.3
54,Lyme town,52.6
55,Middlefield town,51
56,Middletown town,37.5
57,Old Lyme town,49.1
58,Old Saybrook town,57.4
59,Portland town,40.8
60,Westbrook town,54.6
61,Ansonia town,40.7
62,Beacon Falls town,50.1
63,Bethlehem town,44.8
64,Bristol town,37.5
65,Cheshire town,42.9
66,Derby town,46
67,Middlebury town,41.5
68,Naugatuck town,38.7
69,Oxford town,46.2
70,Plymouth town,43.3
71,Prospect town,45.7
72,Seymour town,39.3
73,Shelton town,44.6
74,Southbury town,51.5
75,Thomaston town,41.2
76,Waterbury town,36.7
77,Watertown town,44.2
78,Wolcott town,43.3
79,Woodbury town,53.5
80,Ashford town,37.6
81,Brooklyn town,42.4
82,Canterbury town,48.5
83,Chaplin town,43.8
84,Eastford town,44.1
85,Hampton town,51
86,Killingly town,38.9
87,Plainfield town,36.3
88,Pomfret town,45.4
89,Putnam town,41
90,Scotland town,37.7
91,Sterling town,34.7
92,Thompson town,48.1
93,Union town,49.7
94,Voluntown town,45.7
95,Woodstock town,43.5
96,Barkhamsted town,47.4
97,Burlington town,39
98,Canaan town,51.4
99,Colebrook town,53.5
100,Cornwall town,52.7
101,Goshen town,47.1
102,Hartland town,50.5
103,Harwinton town,45.6
104,Kent town,53.6
105,Litchfield town,49.2
106,Morris town,47.8
107,New Hartford town,47.5
108,Norfolk town,47.5
109,North Canaan town,39.7
110,Roxbury town,52.9
111,Salisbury town,50.3
112,Sharon town,53.1
113,Torrington town,40.8
114,Warren town,43
115,Washington town,43.3
116,Winchester town,47.9
117,Bethany town,42.9
118,Branford town,52.7
119,East Haven town,45.1
120,Guilford town,50.2
121,Hamden town,37.6
122,Madison town,51.3
123,Meriden town,40.2
124,Milford town,46.8
125,New Haven town,31
126,North Branford town,48
127,North Haven town,46.1
128,Orange town,45.7
129,Wallingford town,44.3
130,West Haven town,36.1
131,Woodbridge town,46.2
132,Bozrah town,46.8
133,Colchester town,42.6
134,East Lyme town,49.4
135,Franklin town,43.3
136,Griswold town,50
137,Groton town,37
138,Lebanon town,47
139,Ledyard town,37.5
140,Lisbon town,43.9
141,Montville town,42.7
142,New London town,35.5
143,North Stonington town,49.8
144,Norwich town,40.2
145,Preston town,41.9
146,Salem town,38.7
147,Sprague town,41.2
148,Stonington town,51.3
149,Waterford town,47
150,Windham town,33.7
151,County subdivisions not defined,-
152,Bethel town,40.9
153,Bridgewater town,54.9
154,Brookfield town,46.9
155,Danbury town,38.6
156,Darien town,39.5
157,Greenwich town,43
158,New Canaan town,43.5
159,New Fairfield town,42.3
160,New Milford town,42.5
161,Newtown town,44.8
162,Norwalk town,40
163,Redding town,50.7
164,Ridgefield town,45.5
165,Sherman town,58.2
166,Stamford town,37.6
167,Weston town,46.1
168,Westport town,45.9
169,Wilton town,43.7
